band,y,x
1,45.14196544,-81.55097426
1,45.14196544,-81.55982747
1,45.13311224,-81.55097426
1,45.12425903,-81.47129542
1,45.19508467,-81.63950631
1,45.19508467,-81.59524028
1,45.15081865,-81.55982747
1,45.0622866,-81.45358901
1,44.95604814,-81.41817619
1,44.95604814,-81.40932298
1,45.17737826,-81.47129542
1,45.13311224,-81.51556144
1,45.22164428,-81.69262554
1,45.16852506,-81.55097426
1,45.15967185,-81.52441465
1,45.15081865,-81.51556144
1,45.13311224,-81.50670824
1,45.12425903,-81.48014862
1,45.05343339,-81.40932298
1,45.05343339,-81.40046978
1,44.8763693,-81.23225889
1,45.22164428,-81.71033195
1,45.22164428,-81.70147874
1,45.22164428,-81.55982747
1,45.20393787,-81.69262554
1,45.20393787,-81.64835951
1,45.20393787,-81.6306531
1,45.20393787,-81.55097426
1,45.19508467,-81.61294669
1,45.19508467,-81.60409349
1,45.19508467,-81.58638708
1,45.19508467,-81.45358901
1,45.18623147,-81.53326785
1,45.18623147,-81.49785503
1,45.17737826,-81.56868067
1,45.17737826,-81.55982747
1,45.17737826,-81.55097426
1,45.17737826,-81.54212106
1,45.17737826,-81.53326785
1,45.17737826,-81.52441465
1,45.17737826,-81.50670824
1,45.17737826,-81.48900183
1,45.16852506,-81.55982747
1,45.16852506,-81.54212106
1,45.16852506,-81.53326785
1,45.16852506,-81.52441465
1,45.16852506,-81.48014862
1,45.16852506,-81.47129542
1,45.16852506,-81.46244221
1,45.16852506,-81.45358901
1,45.15967185,-81.57753388
1,45.15967185,-81.54212106
1,45.15967185,-81.53326785
1,45.15967185,-81.49785503
1,45.15967185,-81.48014862
1,45.15967185,-81.47129542
1,45.15967185,-81.46244221
1,45.15081865,-81.54212106
1,45.15081865,-81.53326785
1,45.15081865,-81.52441465
1,45.15081865,-81.50670824
1,45.15081865,-81.48900183
1,45.15081865,-81.42702939
1,45.14196544,-81.54212106
1,45.14196544,-81.53326785
1,45.14196544,-81.52441465
1,45.14196544,-81.51556144
1,45.14196544,-81.49785503
1,45.14196544,-81.48900183
1,45.14196544,-81.48014862
1,45.13311224,-81.53326785
1,45.13311224,-81.52441465
1,45.13311224,-81.49785503
1,45.13311224,-81.48900183
1,45.13311224,-81.48014862
1,45.13311224,-81.47129542
1,45.13311224,-81.45358901
1,45.12425903,-81.46244221
1,45.12425903,-81.40046978
1,45.11540583,-81.46244221
1,45.11540583,-81.45358901
1,45.10655262,-81.51556144
1,45.10655262,-81.48014862
1,45.09769942,-81.50670824
1,45.09769942,-81.49785503
1,45.09769942,-81.48900183
1,45.09769942,-81.47129542
1,45.09769942,-81.46244221
1,45.09769942,-81.41817619
1,45.08884621,-81.50670824
1,45.08884621,-81.49785503
1,45.08884621,-81.48900183
1,45.08884621,-81.48014862
1,45.07999301,-81.39161657
1,45.07999301,-81.32079094
1,45.0711398,-81.48014862
1,45.0711398,-81.47129542
1,45.0711398,-81.46244221
1,45.0711398,-81.45358901
1,45.0711398,-81.38276337
1,45.0711398,-81.37391016
1,45.0622866,-81.48900183
1,45.0622866,-81.40046978
1,45.05343339,-81.4447358
1,45.05343339,-81.41817619
1,45.05343339,-81.39161657
1,45.04458019,-81.46244221
1,45.04458019,-81.4447358
1,45.04458019,-81.41817619
1,45.04458019,-81.29423132
1,45.03572698,-81.41817619
1,45.03572698,-81.40046978
1,45.02687378,-81.4447358
1,45.01802057,-81.4358826
1,45.01802057,-81.40046978
1,45.01802057,-81.39161657
1,45.00031416,-81.41817619
1,44.97375455,-81.33849735
1,44.92063532,-81.36505696
1,44.91178212,-81.36505696
1,44.91178212,-81.32964414
1,44.90292891,-81.32964414
1,44.86751609,-81.01092877
1,45.23935069,-81.50670824
1,45.22164428,-81.40046978
1,45.21279108,-81.61294669
1,45.19508467,-81.48014862
1,45.16852506,-81.57753388
1,45.16852506,-81.48900183
1,45.15967185,-81.41817619
1,45.15081865,-81.55097426
1,45.15081865,-81.40932298
1,45.10655262,-81.48900183
1,45.09769942,-81.48014862
1,45.09769942,-81.29423132
1,45.09769942,-81.28537812
